Variability measure,Alternate name,Variable name,Units,Base
st_Emp,st_B,Standard error of Beginning-of-Quarter Employment,Count,1
st_EmpEnd,st_E,Standard error of End-of-Quarter Employment,Count,1
st_EmpS,st_F,Standard error of Full-Quarter Employment (Stable),Count,1
...,,,,
vt_Emp,vt_B,Total variation of Beginning-of-Quarter Employment,Count,1
vt_EmpEnd,vt_E,Total variation of End-of-Quarter Employment,Count,1
vt_EmpS,vt_F,Total variation of Full-Quarter Employment (Stable),Count,1
...,,,,
vb_Emp,vb_B,Between-implicate variability for Beginning-of-Quarter Employment,Count,1
vb_EmpEnd,vb_E,Between-implicate variability for End-of-Quarter Employment,Count,1
vb_EmpS,vb_F,Between-implicate variability for Full-Quarter Employment (Stable),Count,1
...,,,,
...,,,,
df_Emp,df_B,Degrees of freedom for VT of Beginning-of-Quarter Employment,Count,1
df_EmpEnd,df_E,Degrees of freedom for VT of End-of-Quarter Employment,Count,1
df_EmpS,df_F,Degrees of freedom for VT of Full-Quarter Employment (Stable),Count,1
...,,,,
mr_Emp,mr_B,Missingness ratio for Beginning-of-Quarter Employment,Count,1
mr_EmpEnd,mr_E,Missingness ratio for End-of-Quarter Employment,Count,1
mr_EmpS,mr_F,Missingness ratio for Full-Quarter Employment (Stable),Count,1
